Archivos,,,,,,,,,,,,
ID,Código,Nombre,Medida,Importe,Descuento,Cuenta Contable 1,Cuenta Contable 2,Cuenta Contable 3,Tipo,IVA,Estado,Acción
2889,fmp18,"Alojamiento en familia, MP",18 semanas,"3.650,00 €",10 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2890,fmp19,"Alojamiento en familia, MP",19 semanas,"3.850,00 €",10 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2891,fmp2,"Alojamiento en familia, MP",2 semanas,430 €,10 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2892,fmp20,"Alojamiento en familia, MP",20 semanas,"4.050,00 €",10 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2893,fmp21,"Alojamiento en familia, MP",21 semanas,"4.250,00 €",10 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2894,fmp22,"Alojamiento en familia, MP",22 semanas,"4.450,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2895,fmp23,"Alojamiento en familia, MP",23 semanas,"4.650,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2896,fmp24,"Alojamiento en familia, MP",24 semanas,"4.850,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2897,fmp25,"Alojamiento en familia, MP",25 semanas,"5.050,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2898,fmp26,"Alojamiento en familia, MP",26 semanas,"5.250,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2899,fmp27,"Alojamiento en familia, MP",27 semanas,"5.450,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2900,fmp28,"Alojamiento en familia, MP",28 semanas,"5.650,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2901,fmp29,"Alojamiento en familia, MP",29 semanas,"5.850,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2902,fmp3,"Alojamiento en familia, MP",3 semanas,640 €,0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2903,fmp30,"Alojamiento en familia, MP",30 semanas,"6.050,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2904,fmp31,"Alojamiento en familia, MP",31 semanas,"6.250,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2905,fmp32,"Alojamiento en familia, MP",32 semanas,"6.450,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2906,fmp33,"Alojamiento en familia, MP",33 semanas,"6.650,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2907,fmp34,"Alojamiento en familia, MP",34 semanas,"6.850,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2908,fmp35,"Alojamiento en familia, MP",35 semanas,"7.050,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2909,fmp36,"Alojamiento en familia, MP",36 semanas,"7.250,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2910,fmp37,"Alojamiento en familia, MP",37 semanas,"7.450,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2911,fmp38,"Alojamiento en familia, MP",38 semanas,"7.650,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2912,fmp39,"Alojamiento en familia, MP",39 semanas,"7.850,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2913,fmp4,"Alojamiento en familia, MP",4 semanas,850 €,0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2914,fmp40,"Alojamiento en familia, MP",40 semanas,"8.050,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2915,fmp41,"Alojamiento en familia, MP",41 semanas,"8.250,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2916,fmp42,"Alojamiento en familia, MP",42 semanas,"8.450,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2917,fmp43,"Alojamiento en familia, MP",43 semanas,"8.650,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2918,fmp44,"Alojamiento en familia, MP",44 semanas,"8.850,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2919,fmp45,"Alojamiento en familia, MP",45 semanas,"9.050,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2920,fmp46,"Alojamiento en familia, MP",46 semanas,"9.250,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2921,fmp47,"Alojamiento en familia, MP",47 semanas,"9.450,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2922,fmp48,"Alojamiento en familia, MP",48 semanas,"9.650,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2923,fmp49,"Alojamiento en familia, MP",49 semanas,"9.850,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2924,fmp5,"Alojamiento en familia, MP",5 semanas,"1.050,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2925,fmp50,"Alojamiento en familia, MP",50 semanas,"10.050,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2926,fmp51,"Alojamiento en familia, MP",51 semanas,"10.250,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2927,fmp52,"Alojamiento en familia, MP",52 semanas,"10.450,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2928,fmp53,"Alojamiento en familia, MP",53 semanas,"10.650,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2929,fmp6,"Alojamiento en familia, MP",6 semanas,"1.250,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2930,fmp7,"Alojamiento en familia, MP",7 semanas,"1.450,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2931,fmp8,"Alojamiento en familia, MP",8 semanas,"1.650,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2932,fmp9,"Alojamiento en familia, MP",9 semanas,"1.850,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2933,fmpe,"Alojamiento en familia, MP",1,30 €,0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2934,fmpe2,"Alojamiento en familia, MP",2,60 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2935,fmpe3,"Alojamiento en familia, MP",3,90 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2936,fmpe4,"Alojamiento en familia, MP",4,120 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2937,fmpe5,"Alojamiento en familia, MP",5,150 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2938,fmpe6,"Alojamiento en familia, MP",6,180 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2939,fpc0,"Alojamiento en familia, PC",,0 €,0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2940,fpc1,"Alojamiento en familia, PC",1 semana,240 €,0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2941,fpc10,"Alojamiento en familia, PC",10 semanas,"2.310,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2942,fpc11,"Alojamiento en familia, PC",11 semanas,"2.535,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2943,fpc12,"Alojamiento en familia, PC",12 semanas,"2.760,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2944,fpc13,"Alojamiento en familia, PC",13 semanas,"2.985,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2945,fpc14,"Alojamiento en familia, PC",14 semanas,"3.210,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2946,fpc15,"Alojamiento en familia, PC",15 semanas,"3.435,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2947,fpc16,"Alojamiento en familia, PC",16 semanas,"3.660,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2948,fpc17,"Alojamiento en familia, PC",17 semanas,"3.885,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2949,fpc18,"Alojamiento en familia, PC",18 semanas,"4.110,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2950,fpc19,"Alojamiento en familia, PC",19 semanas,"4.335,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2951,fpc2,"Alojamiento en familia, PC",2 semanas,480 €,0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2952,fpc20,"Alojamiento en familia, PC",20 semanas,"4.560,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2953,fpc21,"Alojamiento en familia, PC",21 semanas,"4.785,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2954,fpc22,"Alojamiento en familia, PC",22 semanas,"5.010,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2955,fpc23,"Alojamiento en familia, PC",23 semanas,"5.235,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2956,fpc24,"Alojamiento en familia, PC",24 semanas,"5.460,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2957,fpc25,"Alojamiento en familia, PC",25 semanas,"5.685,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2958,fpc26,"Alojamiento en familia, PC",26 semanas,"5.910,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2959,fpc27,"Alojamiento en familia, PC",27 semanas,"6.135,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2960,fpc28,"Alojamiento en familia, PC",28 semanas,"6.360,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2961,fpc29,"Alojamiento en familia, PC",29 semanas,"6.585,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2962,fpc3,"Alojamiento en familia, PC",3 semanas,720 €,0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2963,fpc30,"Alojamiento en familia, PC",30 semanas,"6.810,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2964,fpc31,"Alojamiento en familia, PC",31 semanas,"7.035,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2965,fpc32,"Alojamiento en familia, PC",32 semanas,"7.260,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2966,fpc33,"Alojamiento en familia, PC",33 semanas,"7.485,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2967,fpc34,"Alojamiento en familia, PC",34 semanas,"7.710,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2968,fpc35,"Alojamiento en familia, PC",35 semanas,"7.935,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2969,fpc36,"Alojamiento en familia, PC",36 semanas,"8.160,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2970,fpc37,"Alojamiento en familia, PC",37 semanas,"8.385,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2971,fpc38,"Alojamiento en familia, PC",38 semanas,"8.610,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2972,fpc39,"Alojamiento en familia, PC",39 semanas,"8.835,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2973,fpc4,"Alojamiento en familia, PC",4 semanas,960 €,0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2974,fpc40,"Alojamiento en familia, PC",40 semanas,"9.060,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2975,fpc41,"Alojamiento en familia, PC",41 semanas,"9.285,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2976,fpc42,"Alojamiento en familia, PC",42 semanas,"9.510,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2977,fpc43,"Alojamiento en familia, PC",43 semanas,"9.735,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2978,fpc44,"Alojamiento en familia, PC",44 semanas,"9.960,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2979,fpc45,"Alojamiento en familia, PC",45 semanas,"10.185,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2980,fpc46,"Alojamiento en familia, PC",46 semanas,"10.410,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2981,fpc47,"Alojamiento en familia, PC",47 semanas,"10.635,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2982,fpc48,"Alojamiento en familia, PC",48 semanas,"10.860,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2983,fpc49,"Alojamiento en familia, PC",49 semanas,"11.085,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2984,fpc5,"Alojamiento en familia, PC",5 semanas,"1.185,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2985,fpc50,"Alojamiento en familia, PC",50 semanas,"11.310,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2986,fpc51,"Alojamiento en familia, PC",51 semanas,"11.535,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2987,fpc52,"Alojamiento en familia, PC",52 semanas,"11.760,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2988,fpc53,"Alojamiento en familia, PC",53 semanas,"11.985,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2989,fpc6,"Alojamiento en familia, PC",6 semanas,"1.410,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2990,fpc7,"Alojamiento en familia, PC",7 semanas,"1.635,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2991,fpc8,"Alojamiento en familia, PC",8 semanas,"1.860,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2992,fpc9,"Alojamiento en familia, PC",9 semanas,"2.085,00 €",0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2993,fpce,"Alojamiento en familia, PC",1,35 €,0 %,705100000000,752100000003,752100000003,Alojamiento,16 %,Activo,
2994,fpce2,"Alojamiento en familia, PC",2,70 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2995,fpce3,"Alojamiento en familia, PC",3,105 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2996,fpce4,"Alojamiento en familia, PC",4,140 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2997,fpce5,"Alojamiento en familia, PC",5,175 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2998,fpce6,"Alojamiento en familia, PC",6,210 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2999,a0,Alojamiento:,oferta especial,0 €,0 %,705100000000,705100000000,752100000000,Alojamiento,16 %,Activo,
3000,anu,,,€,100 %,,,,Otro,16 %,Activo,
3001,cp0,"Clases particulares,",,0 €,0 %,705000000000,700000000011,700000000500,Docencia,16 %,Activo,
3002,cp1,"Clases particulares,",1 hora,50 €,0 %,705000000000,700000000011,705000000500,Docencia,16 %,Activo,
3003,cp10,"Clases particulares,",10 horas,350 €,0 %,705000000000,700000000011,705000000500,Docencia,16 %,Activo,
3004,cp100,"Clases particulares,",100 horas,"3.300,00 €",0 %,705000000000,700000000011,705000000500,Docencia,16 %,Activo,
3005,cp100,"Clases particulares,",20 horas,660 €,0 %,705000000000,700000000011,705000000500,Docencia,16 %,Activo,
3006,cp11,"Clases particulares,",11 horas,385 €,0 %,705000000000,700000000011,705000000500,Docencia,16 %,Activo,
3007,cp12,"Clases particulares,",12 horas,420 €,0 %,705000000000,700000000011,705000000500,Docencia,16 %,Activo,
3008,cp13,"Clases particulares,",13 horas,455 €,0 %,705000000000,700000000011,705000000500,Docencia,16 %,Activo,
3009,cp14,"Clases particulares,",14 horas,490 €,0 %,705000000000,700000000011,705000000500,Docencia,16 %,Activo,
