1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:37:43
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se inserta un nuevo tipo de curso; Fecha: 08-08-2024; Hora: 11:38:28
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:45:19
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:47:32
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se inserta un nuevo tipo de curso; Fecha: 08-08-2024; Hora: 11:48:04
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:48:07
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:49:04
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se inserta un nuevo tipo de curso; Fecha: 08-08-2024; Hora: 11:49:10
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:51:44
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:51:49
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se inserta un nuevo tipo de curso; Fecha: 08-08-2024; Hora: 11:51:54
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:51:54
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:55:54
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:56:10
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:56:20
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:56:41
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:57:07
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:57:15
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:57:53
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:59:16
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:59:26
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:59:49
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:01:11
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:01:28
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:01:38
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:01:43
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:01:59
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:02:42
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:02:49
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:03:06
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:03:22
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:03:43
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:03:58
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:04:56
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:05:03
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:16:47
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:17:48
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:19:11
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:23:28
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se edita el tipo de curso ; Fecha: 08-08-2024; Hora: 12:23:46
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se activa el tipo de curso ; Fecha: 08-08-2024; Hora: 12:23:46
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:23:46
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:24:29
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se edita el tipo de curso ; Fecha: 08-08-2024; Hora: 12:24:41
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se activa el tipo de curso ; Fecha: 08-08-2024; Hora: 12:24:41
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:24:41
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se edita el tipo de curso ; Fecha: 08-08-2024; Hora: 12:25:16
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se activa el tipo de curso ; Fecha: 08-08-2024; Hora: 12:25:16
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:25:16
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:25:50
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:26:31
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:27:09
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:28:27
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se edita el tipo de curso Prueba Edit; Fecha: 08-08-2024; Hora: 12:28:35
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se activa el tipo de curso ; Fecha: 08-08-2024; Hora: 12:28:35
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:28:35
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:31:16
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:31:33
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:31:48
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:33:37
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se edita el tipo de curso Prueba Edit; Fecha: 08-08-2024; Hora: 12:33:52
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se activa el tipo de curso ; Fecha: 08-08-2024; Hora: 12:33:52
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:33:52
